"","Collection.date","Lineage names","n","freq"
"253",2022-06-26,"BA.5",3,5.88
"254",2022-06-26,"BA.5.2",3,5.88
"255",2022-06-29,"BA.5",1,5.88
"256",2022-06-29,"BA.5.2",1,5.88
"257",2022-06-29,"Unassigned",1,5.88
"258",2022-05-01,"BA.2.9",4,5.8
"259",2022-06-08,"BA.2",8,5.76
"260",2022-06-04,"BA.5",4,5.71
"261",2022-06-27,"Other",4,5.48
"262",2022-04-14,"BA.1.1",6,5.41
"263",2022-04-14,"BA.2.3",6,5.41
"264",2022-05-19,"BA.2.3",5,5.32
"265",2022-05-19,"BA.2.9",5,5.32
"266",2022-05-28,"BA.5",4,5.19
"267",2022-04-13,"BA.2.3",6,5.08
"268",2022-04-19,"BA.1.1",6,5.08
"269",2022-05-12,"BA.2.9",10,5.08
"270",2022-05-09,"BA.2.9",8,5.06
"271",2022-06-13,"BA.2",4,4.94
"272",2022-04-22,"BA.2.7",5,4.9
"273",2022-04-16,"BA.2.3",4,4.88
"274",2022-06-10,"BA.2",4,4.82
"275",2022-06-10,"BA.5.1",4,4.82
"276",2022-05-16,"BA.2.9",7,4.79
"277",2022-05-17,"BA.2.8",6,4.72
"278",2022-06-07,"BA.4",5,4.67
"279",2022-06-23,"BA.4.1",3,4.62
"280",2022-06-23,"Other",3,4.62
"281",2022-04-17,"BA.1.1",1,4.55
"282",2022-04-17,"BA.2.26",1,4.55
"283",2022-04-15,"BA.1.1",7,4.49
"284",2022-05-06,"BA.2.3",6,4.48
"285",2022-06-15,"BA.2",3,4.48
"286",2022-06-15,"BA.5.5",3,4.48
"287",2022-06-20,"BA.5.2.1",3,4.48
"288",2022-06-09,"BA.5.1",5,4.46
"289",2022-06-17,"BA.2.18",2,4.44
"290",2022-06-17,"BA.4",2,4.44
"291",2022-06-17,"BA.4.1",2,4.44
"292",2022-06-17,"BA.5.2.1",2,4.44
"293",2022-06-21,"BA.2.18",2,4.44
"294",2022-06-21,"BA.2.9",2,4.44
"295",2022-06-21,"BA.5",2,4.44
"296",2022-06-21,"BA.5.2",2,4.44
"297",2022-06-22,"BA.5.5",3,4.41
"298",2022-05-31,"BA.4",8,4.4
"299",2022-05-01,"BA.2.7",3,4.35
"300",2022-06-18,"BA.5",2,4.35
